Sale ID, Year, Make, Model, Style, Is Active?, On Sale?, Has Sold?, Offer to Seller, Private Price PI, Trade In Price PI, Retail Price PI, CPO Price PI, Private Price L, Trade In Price L, Retail Price L, CPO Price L, Beepi Price
1002,2012,Volkswagen,Touareg,TDI Sport 4dr SUV AWD w/Navigation  Prod. End 10/11 (3.0L 6cyl Turbodiesel 8A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1003,2011,Toyota,Corolla,S 4dr Sedan (1.8L 4cyl 4A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1004,2012,Volkswagen,GTI,PZEV 4dr Hatchback w/Sunroof  Navigation (2.0L 4cyl Turbo 6AM),N, N, Y, 18495,18994,17495,20219,21975,18994,17495,20219,21975,20100
1005,2011,BMW,3 Series,335d 4dr Sedan (3.0L 6cyl Turbodiesel 6A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1006,2010,MINI,Cooper,2dr Hatchback (1.6L 4cyl 6M),N, N, Y, 12487,12290,10832,13723,N/A,12290,10832,13723,N/A,13585
1007,2010,Honda,Civic,LX 4dr Sedan (1.8L 4cyl 5A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1008,2009,Infiniti,G37,Journey 4dr Sedan (3.7L 6cyl 7A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1009,2009,BMW,X6,xDrive50i 4dr SUV AWD (4.4L 8cyl Turbo 6A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1010,2012,Mercedes-Benz,GLK-Class,GLK350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A),N, N, Y, 29074,29802,27751,31950,35261,29802,27751,31950,35261,32900
1011,2009,BMW,X6,xDrive50i 4dr SUV AWD (4.4L 8cyl Turbo 6A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1012,2011,BMW,5 Series,550i 4dr Sedan (4.4L 8cyl Turbo 6M),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1013,2011,Nissan,Versa,1.6 4dr Sedan (1.6L 4cyl 4A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1014,2013,Chevrolet,Corvette,Z06 2dr Coupe (7.0L 8cyl 6M),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1015,2009,BMW,1 Series,135i 2dr Coupe (3.0L 6cyl Turbo 6M),N, N, N, 17381,17419,15771,19101,22405,17419,15771,19101,22405,N/A
1016,2010,Mercedes-Benz,E-Class,E550 2dr Coupe (5.5L 8cyl 7A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1017,2013,Audi,A4,2.0T Premium quattro 4dr Sedan AWD (2.0L 4cyl Turbo 6M),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1018,2010,Lexus,HS 250h,4dr Sedan (2.4L 4cyl gas/electric hybrid CVT),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1019,2010,MINI,Cooper,2dr Hatchback (1.6L 4cyl 6M),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1020,2013,Volkswagen,Jetta,SE PZEV 4dr Sedan (2.5L 5cyl 6A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1021,2013,Volkswagen,Jetta,SE PZEV 4dr Sedan (2.5L 5cyl 6A),N, N, Y, 16552,16866,15159,18190,19571,16866,15159,18190,19571,16200
1022,2011,Subaru,Forester,2.5XT Touring 4dr SUV AWD (2.5L 4cyl Turbo 4A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1023,2011,Ford,Fiesta,S 4dr Sedan (1.6L 4cyl 5M),N, N, Y, 8542,8243,6988,9387,N/A,8243,6988,9387,N/A,9293
1024,2010,Honda,Insight,LX 4dr Hatchback (1.3L 4cyl gas/electric hybrid CVT),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1025,2012,MINI,Cooper,2dr Hatchback (1.6L 4cyl 6M),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10930,2011,MINI,Cooper Clubman,S 3dr Hatchback (1.6L 4cyl Turbo 6M),N, N, Y, 18776,17923,16300,20634,22054,17923,16300,20634,22054,19300
10931,2013,Volvo,S60,T5 4dr Sedan (2.5L 5cyl Turbo 6A),N, N, N, 21290,21806,19965,23396,25871,21806,19965,23396,25871,N/A
10932,2012,Honda,Civic,Hybrid 4dr Sedan w/Nav (1.5L 4cyl gas/electric hybrid CVT),N, N, N, 15836,16183,14692,17403,19232,16183,14692,17403,19232,N/A
10933,2011,Honda,CR-Z,EX 2dr Hatchback w/Nav (1.5L 4cyl gas/electric hybrid CVT),N, N, N, 13690,13725,12238,15045,17299,13725,12238,15045,17299,N/A
10934,2008,BMW,3 Series,328i 4dr Sedan (3.0L 6cyl 6M),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10935,2012,Honda,Civic,EX 2dr Coupe (1.8L 4cyl 5A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10936,2009,Toyota,Camry,LE 4dr Sedan (2.4L 4cyl 5A),N, N, N, 10757,10444,9057,11821,14186,10444,9057,11821,14186,N/A
10937,2010,Infiniti,G37 Coupe,Anniversary Edition 2dr Coupe (3.7L 6cyl 7A),N, N, N, 23681,24334,22681,25862,29855,24334,22681,25862,29855,N/A
10938,2012,Jeep,Wrangler,Sport 2dr SUV 4WD (3.6L 6cyl 6M),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10939,2013,Toyota,Prius,Three 4dr Hatchback (1.8L 4cyl gas/electric hybrid CVT),N, N, Y, 21900,21878,20473,24066,25581,18715,17238,20914,22331,20500
10940,2012,MINI,Cooper,2dr Hatchback (1.6L 4cyl 6M),N, N, N, 14691,14827,13405,16145,18186,14827,13405,16145,18186,N/A
10941,2013,Hyundai,Elantra,GLS 4dr Sedan (1.8L 4cyl 6A),N, N, Y, 13694,13992,12694,15044,16566,13992,12694,15044,16566,15000
10942,2014,Mercedes-Benz,B-Class Electric Drive,4dr Hatchback (electric DD),N, N, Y, 38500,40000,35000,43000,48000,32719,30875,35192,37965,33500
10943,2011,Nissan,Leaf,SL 4dr Hatchback (3-phase  4-pole electric DD),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10944,2011,Porsche,911,Turbo S 2dr Convertible AWD (3.8L 6cyl Turbo 7AM),N, N, Y, 94364,97890,93364,101904,106557,93184,88800,97230,101790,94400
10945,2011,Toyota,Camry,XLE 4dr Sedan (3.5L 6cyl 6A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10946,2012,Toyota,Corolla,LE 4dr Sedan (1.8L 4cyl 4A),N, N, N, 13003,13156,11807,14290,0,13156,11807,14290,0,N/A
10947,2011,Toyota,Camry,LE 4dr Sedan (2.5L 4cyl 6A),N, N, N, 13414,13500,12117,14741,16904,13500,12117,14741,16904,N/A
10948,2011,Toyota,Camry,LE 4dr Sedan (2.5L 4cyl 6A),N, N, N, 13622,13705,12306,14970,17231,13705,12306,14970,17231,N/A
10949,2012,Mazda,MAZDA6,i Sport 4dr Sedan (2.5L 4cyl 5A),N, N, N, 11755,11879,10610,12918,14319,11879,10610,12918,14319,N/A
10950,2014,Toyota,Corolla,LE Plus 4dr Sedan (1.8L 4cyl CVT),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10951,2012,Nissan,Versa,1.8 S 4dr Hatchback (1.8L 4cyl 4A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10952,2013,Land-Rover,Range Rover Sport,HSE 4dr SUV 4WD (5.0L 8cyl 6A),N, N, N, 55441,55760,52963,60925,63932,55736,52940,60899,63906,58000
10953,2012,FIAT,500,Lounge 2dr Hatchback (1.4L 4cyl 5M),N, N, Y, 11786,11573,10093,12952,0,11564,10164,13814,0,12300
10954,2011,Honda,CR-Z,EX 2dr Hatchback (1.5L 4cyl gas/electric hybrid CVT),N, N, N, 12966,13032,11660,14249,16409,13032,11660,14249,16409,N/A
10955,2012,Audi,S4,Premium Plus quattro 4dr Sedan AWD (3.0L 6cyl S/C 6M),N, N, N, 31084,32102,29954,34159,37603,32102,29954,34159,37603,N/A
10956,2013,Mercedes-Benz,C-Class,C250 2dr Coupe (1.8L 4cyl Turbo 7A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10957,2013,MINI,Cooper,2dr Hatchback (1.6L 4cyl 6M),N, N, Y, 17347,16830,15223,19063,20243,16348,14801,18624,19800,17400
10958,2011,BMW,5 Series,550i 4dr Sedan (4.4L 8cyl Turbo 6M),N, N, N, 35415,35797,33074,38918,43053,35797,33074,38918,43053,N/A
10959,2012,BMW,3 Series,335i 4dr Sedan (3.0L 6cyl Turbo 6M),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10960,2014,Jeep,Wrangler,Unlimited Rubicon 4dr SUV 4WD (3.6L 6cyl 6M),N, N, N, 32054,31995,29774,35225,36247,31995,29774,35225,36247,N/A
10961,2014,Honda,Civic,LX 4dr Sedan (1.8L 4cyl CVT),N, N, Y, 15460,15815,14460,16838,18235,15815,14460,16838,18235,16500
10962,2014,Mercedes-Benz,C-Class,C250 Sport 4dr Sedan (1.8L 4cyl Turbo 7A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10963,2013,Honda,Civic,EX 4dr Sedan (1.8L 4cyl 5A),N, N, N, 15612,15824,14612,16740,18280,15824,14612,16740,18280,N/A
10964,2008,Lexus,IS F,4dr Sedan (5.0L 8cyl 8A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10965,2013,Honda,Civic,LX 4dr Sedan (1.8L 4cyl 5A),N, N, N, 14821,15011,13821,15907,17367,15011,13821,15907,17367,N/A
10966,2010,Mercedes-Benz,M-Class,ML350 4dr SUV (3.5L 6cyl 7A),N, N, N, 26561,26197,23669,29188,33055,26197,23669,29188,33055,N/A
10967,2010,BMW,1 Series,135i 2dr Coupe (3.0L 6cyl Turbo 6M),N, N, N, 18499,18410,16466,20329,23538,18410,16466,20329,23538,N/A
10968,2012,Honda,CR-V,EX 4dr SUV (2.4L 4cyl 5A),N, N, N, 18991,19469,17991,20679,23086,19469,17991,20679,23086,N/A
10969,2010,Hyundai,Elantra,SE 4dr Sedan (2.0L 4cyl 4A),N, N, N, 10310,9962,8482,11330,0,9962,8482,11330,0,N/A
10970,2012,Toyota,Prius c,Four 4dr Hatchback (1.5L 4cyl gas/electric hybrid CVT),N, N, Y, 15719,15281,14024,17274,18620,15281,14024,17274,18620,16300
10971,2014,Volkswagen,Jetta,SE PZEV 4dr Sedan w/Connectivity (1.8L 4cyl Turbo 6A),N, N, Y, 17238,17686,16088,18943,20308,16646,15086,18610,19187,16400
10972,2013,Toyota,Prius,Five 4dr Hatchback (1.8L 4cyl gas/electric hybrid CVT),N, N, Y, 25263,25958,24263,27489,30287,22098,20465,24694,26200,24000
10973,2014,FIAT,500,Abarth 2dr Hatchback (1.4L 4cyl Turbo 5M),N, N, Y, 16365,16777,15365,17842,0,15257,13822,16340,0,15900
10974,2011,Honda,CR-V,EX 4dr SUV (2.4L 4cyl 5A),N, N, Y, 16506,16893,15488,18139,20545,16893,15488,18139,20545,17500
10975,2013,Volkswagen,Jetta Hybrid,SEL 4dr Sedan (1.4L 4cyl Turbo gas/electric hybrid 7AM),N, N, N, 18753,19241,17753,20374,22070,19241,17753,20374,22070,N/A
10976,2014,Toyota,RAV4,Limited 4dr SUV AWD (2.5L 4cyl 6A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10977,2014,Mazda,MAZDA3,i Touring 4dr Sedan (2.0L 4cyl 6A),N, N, Y, 15637,15985,14550,17184,18633,15985,14550,17184,18633,16900
10978,2008,Ford,Fusion,SEL 4dr Sedan (2.3L 4cyl 5M),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10979,2011,Hyundai,Sonata,GLS PZEV 4dr Sedan (2.4L 4cyl 6A) ,N, N, Y, 11179,11186,10020,12285,14002,11226,10081,13085,14084,12000
10980,2013,Ford,Focus ST,4dr Hatchback w/EcoBoost (2.0L 4cyl Turbo 6M),N, N, N, 19122,19465,17851,21014,22645,19465,17851,21014,22645,20400
10981,2013,Volkswagen,CC,Sport Plus 4dr Sedan (2.0L 4cyl Turbo 6AM),N, N, N, 19577,20162,18577,21377,22995,20162,18577,21377,22995,N/A
10982,2012,Ford,Focus,Titanium 4dr Sedan (2.0L 4cyl 6AM),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10983,2009,Audi,A4,3.2 quattro 2dr Convertible AWD (3.1L 6cyl 6A),N, N, N, 21928,22301,20620,24097,28816,22301,20620,24097,28816,N/A
10984,2010,Volkswagen,GTI,4dr Hatchback (2.0L 4cyl Turbo 6AM),N, N, N, 14408,13935,12065,15833,17766,13935,12065,15833,17766,N/A
10985,2010,Nissan,Altima,2.5 S 4dr Sedan (2.5L 4cyl CVT),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10986,2011,MINI,Cooper,S 2dr Hatchback (1.6L 4cyl Turbo 6M),N, N, Y, 14742,14731,13327,16201,18343,12965,11406,15357,16617,14900
10987,2011,Honda,CR-V,EX-L 4dr SUV (2.4L 4cyl 5A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10988,2011,Toyota,Camry,LE 4dr Sedan (3.5L 6cyl 6A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10989,2010,Toyota,Prius,IV 4dr Hatchback (1.8L 4cyl gas/electric hybrid CVT),N, N, N, 16364,16594,15224,17983,20820,16594,15224,17983,20820,N/A
10990,2013,Hyundai,Genesis Coupe,2.0T R-Spec 2dr Coupe (2.0L 4cyl Turbo 6M),N, N, N, 17599,17954,16599,18984,20838,17954,16599,18984,20838,N/A
10991,2012,Honda,Civic,Hybrid 4dr Sedan (1.5L 4cyl gas/electric hybrid CVT),N, N, N, 14553,14841,13432,15993,17761,14841,13432,15993,17761,N/A
10992,2011,Toyota,Prius,Two 4dr Hatchback (1.8L 4cyl gas/electric hybrid CVT),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10993,2013,Ford,Focus,SE 4dr Sedan (2.0L 4cyl 5M),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10994,2008,Audi,TT,2.0T 2dr Hatchback (2.0L 4cyl Turbo 6AM),N, N, N, 14450,14232,12828,15880,0,14232,12828,15880,0,15700
10995,2008,Ford,Focus,S 4dr Sedan (2.0L 4cyl 5M),N, N, N, 5568,4746,3557,6119,0,4746,3557,6119,0,N/A
10996,2014,Audi,Q5,2.0T Prestige quattro 4dr SUV AWD (2.0L 4cyl Turbo gas/electric hybrid 8A),N, N, N, 40583,42244,39583,44377,48421,42244,39583,44377,48421,41800
10997,2011,Honda,CR-V,EX 4dr SUV (2.4L 4cyl 5A),N, N, N, 16628,17027,15622,18273,20666,17027,15622,18273,20666,N/A
10998,2012,Hyundai,Sonata,Limited 4dr Sedan (2.4L 4cyl 6A),N, N, N, 16076,16392,15009,17666,19718,16392,15009,17666,19718,N/A
10999,2013,Tesla,Model S,Performance 4dr Sedan (3-phase  4-pole electric DD),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11000,2013,Ford,Focus,SE 4dr Hatchback (2.0L 4cyl 5M),N, N, Y, 14798,14317,12921,16262,16920,14317,12921,16262,16920,15300
11001,2010,Toyota,Corolla,S 4dr Sedan (1.8L 4cyl 4A),N, N, Y, 12203,11289,10093,13410,14503,11351,10191,13498,14593,11500
11002,2013,Audi,S5,Premium Plus quattro 2dr Coupe AWD (3.0L 6cyl S/C 7AM),N, N, Y, 44691,46252,43558,49111,53776,42253,39688,46469,49609,45200
11003,2013,Mercedes-Benz,GLK-Class,GLK350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A),N, N, N, 28379,29223,27058,31186,34177,29223,27058,31186,34177,N/A
11004,2010,Toyota,RAV4,4dr SUV (2.5L 4cyl 4A),N, N, N, 13968,13980,12538,15350,18028,13980,12538,15350,18028,N/A
11005,2012,Nissan,Altima,2.5 S 4dr Sedan (2.5L 4cyl CVT),N, N, N, 13781,13852,12356,15145,16891,13852,12356,15145,16891,N/A
11006,2012,Ford,Focus,SE 4dr Sedan (2.0L 4cyl 5M),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11007,2010,Ford,Fusion,SEL 4dr Sedan (2.5L 4cyl 6A),N, N, N, 11132,10923,9504,12233,13981,10923,9504,12233,13981,N/A
11008,2012,MINI,Cooper Coupe,S 2dr Hatchback (1.6L 4cyl Turbo 6M),N, N, N, 15899,16235,14724,17472,19682,16235,14724,17472,19682,N/A
11009,2013,BMW,5 Series,535i 4dr Sedan (3.0L 6cyl Turbo 6M),N, N, Y, 38401,39678,37103,42199,46100,39678,37103,42199,46100,40000
11010,2013,Volkswagen,GTI,PZEV 2dr Hatchback (2.0L 4cyl Turbo 6AM),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11011,2012,Nissan,Rogue,SV 4dr SUV (2.5L 4cyl CVT),N, N, N, 16721,17052,15563,18375,0,17052,15563,18375,0,N/A
11012,2011,BMW,3 Series,335is 2dr Coupe (3.0L 6cyl Turbo 6M),N, N, N, 29201,29556,26918,32090,36038,29556,26918,32090,36038,N/A
11013,2014,Lexus,ES 350,4dr Sedan (3.5L 6cyl 6A),N, N, N, 38693,39436,36940,42520,45513,39436,36940,42520,45513,N/A
11014,2012,BMW,5 Series,535i 4dr Sedan (3.0L 6cyl Turbo 6M),N, N, Y, 36290,37267,34723,39880,44155,37267,34723,39880,44155,37500
11015,2011,Chevrolet,Equinox,LT1 4dr SUV (2.4L 4cyl 6A),N, N, N, 14300,14306,12776,15715,17858,14306,12776,15715,17858,N/A
11016,2011,BMW,3 Series,335i 4dr Sedan (3.0L 6cyl Turbo 6M),N, N, N, 26010,25976,23476,28583,32071,25976,23476,28583,32071,N/A
11017,2012,MINI,Cooper,S 2dr Hatchback (1.6L 4cyl Turbo 6M),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11018,2013,Ford,Edge,Limited 4dr SUV (3.5L 6cyl 6A),N, N, N, 21526,22117,20205,23656,25861,22117,20205,23656,25861,22800
11019,2013,Audi,S8,quattro 4dr Sedan AWD (4.0L 8cyl Turbo 8A),N, N, N, 86726,89939,85726,94585,0,89939,85726,94585,0,N/A
11020,2013,Honda,Civic,EX 2dr Coupe (1.8L 4cyl 5A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11021,2011,Toyota,Prius,Three 4dr Hatchback (1.8L 4cyl gas/electric hybrid CVT),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11022,2014,Subaru,XV Crosstrek,Limited 4dr SUV AWD (2.0L 4cyl CVT),N, N, N, 22020,22074,20442,24198,25330,22074,20442,24198,25330,N/A
11023,2014,Porsche,Panamera,4 4dr Sedan AWD (3.6L 6cyl 7AM),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11024,2014,Mazda,MAZDA3,s Grand Touring 4dr Hatchback (2.5L 4cyl 6A),N, N, Y, 22030,22492,21030,23599,25373,22492,21030,23599,25373,23300
11025,2011,Ford,Fiesta,SES 4dr Hatchback (1.6L 4cyl 5M),N, N, N, 9843,9578,8279,10817,12483,9578,8279,10817,12483,N/A
11026,2011,Toyota,RAV4,4dr SUV (2.5L 4cyl 4A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11027,2010,Volkswagen,GTI,PZEV 2dr Hatchback (2.0L 4cyl Turbo 6AM),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11028,2011,Acura,TSX,4dr Sedan (2.4L 4cyl 5A),N, N, N, 16681,17006,15681,18180,20903,17006,15681,18180,20903,17200
11029,2013,Honda,Civic,EX 4dr Sedan (1.8L 4cyl 5A),N, N, Y, 16248,16467,15248,17388,18961,16467,15248,17388,18961,17000
11030,2009,Toyota,Camry Hybrid,4dr Sedan (2.4L 4cyl gas/electric hybrid CVT),N, N, N, 12349,12248,10896,13571,0,12248,10896,13571,0,N/A
11031,2010,Toyota,Camry,XLE 4dr Sedan (3.5L 6cyl 6A),N, N, Y, 17103,15792,13903,18795,20317,14894,13061,17894,19385,16400
11032,2013,Honda,Civic,EX 4dr Sedan (1.8L 4cyl 5A),N, N, Y, 15368,15580,14368,16496,18015,15580,14368,16496,18015,16200
11033,2012,Volkswagen,Golf,2.0L TDI 4dr Hatchback w/Tech Package (2.0L 4cyl Turbodiesel 6AM),N, N, N, 17579,18069,16565,19318,21367,18069,16565,19318,21367,N/A
11034,2008,Porsche,Cayenne,Tiptronic 4dr SUV AWD (3.6L 6cyl 6A),N, N, N, 15870,15403,13541,17440,20996,15403,13541,17440,20996,N/A
11035,2012,Cadillac,Escalade,Luxury 4dr SUV (6.2L 8cyl 6A),N, N, Y, 39180,40511,37567,43056,49107,40511,37567,43056,49107,39700
11036,2011,Toyota,Camry,LE 4dr Sedan (2.5L 4cyl 6A),N, N, N, 13452,13563,12186,14783,0,13563,12186,14783,0,N/A
11037,2011,Audi,Q7,TDI Premium quattro 4dr SUV AWD (3.0L 6cyl Turbodiesel 8A),N, N, N, 35567,36221,33668,39085,44714,36221,33668,39085,44714,N/A
11038,2012,Cadillac,Escalade ESV,Luxury 4dr SUV (6.2L 8cyl 6A),N, N, Y, 43491,45149,42118,47793,54338,45149,42118,47793,54338,45000
11039,2011,Honda,Fit,Sport 4dr Hatchback (1.5L 4cyl 5A),N, N, N, 12623,12755,11496,13872,15810,12755,11496,13872,15810,N/A
11040,2011,Kia,Forte,LX 4dr Sedan (2.0L 4cyl 6A),N, N, N, 10460,9556,8388,11495,12194,9556,8388,11495,12194,N/A
11041,2013,Mercedes-Benz,C-Class,C250 Sport 4dr Sedan (1.8L 4cyl Turbo 7A),N, N, Y, 22150,22801,20980,24341,26764,22801,20980,24341,26764,23400
11042,2014,Audi,Q7,3.0T Premium quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),N, N, Y, 40305,40933,38538,44292,48098,40933,38538,44292,48098,42900
11043,2013,Honda,Accord,EX-L 4dr Sedan (2.4L 4cyl CVT),N, N, Y, 20854,21372,19854,22519,24465,21372,19854,22519,24465,21800
11044,2010,Chevrolet,Traverse,LT2 4dr SUV (3.6L 6cyl 6A),N, N, N, 15744,15738,14042,17302,19937,15738,14042,17302,19937,N/A
11045,2009,smart,fortwo,passion coupe 2dr Hatchback (1.0L 3cyl 5AM),N, N, N, 7408,7055,5980,8141,0,7055,5980,8141,0,N/A
11046,2011,MINI,Cooper,2dr Hatchback (1.6L 4cyl 6M),N, N, N, 12648,12559,11230,13899,15897,12559,11230,13899,15897,N/A
11047,2013,Hyundai,Genesis,3.8 4dr Sedan (3.8L 6cyl 8A),N, N, N, 18703,19192,17425,20553,22544,19192,17425,20553,22544,N/A
11048,2013,BMW,X1,xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A),N, N, N, 26800,26248,24356,29373,31515,26248,24356,29373,31515,N/A
11049,2014,BMW,4 Series,428i 2dr Coupe (2.0L 4cyl Turbo 8A),N, N, N, 34365,35614,33365,37624,41052,35614,33365,37624,41052,N/A
11050,2010,Nissan,Versa,1.8 S 4dr Hatchback (1.8L 4cyl 4A),N, N, N, 9066,8804,7599,9963,11594,8804,7599,9963,11594,N/A
11051,2012,FIAT,500,Pop 2dr Hatchback (1.4L 4cyl 5M),N, N, N, 9788,9528,8145,10757,0,9528,8145,10757,0,N/A
11052,2013,BMW,X5,xDrive35d 4dr SUV AWD (3.0L 6cyl Turbodiesel 6A),N, N, Y, 42198,42559,40100,46372,49157,42559,40100,46372,49157,42300
11053,2011,Volvo,XC60,T6 R-Design 4dr SUV AWD (3.0L 6cyl Turbo 6A),N, N, N, 23760,24377,22566,26110,30028,24377,22566,26110,30028,N/A
11054,2012,Hyundai,Sonata Hybrid,4dr Sedan (2.4L 4cyl gas/electric hybrid 6A),N, N, Y, 15797,16139,14756,17360,19615,16139,14756,17360,19615,16900
11055,2011,MINI,Cooper,S 2dr Hatchback (1.6L 4cyl Turbo 6M),N, N, Y, 14489,13728,12398,15922,17191,12822,11239,15267,16886,14500
11056,2014,Audi,S4,Premium Plus quattro 4dr Sedan AWD (3.0L 6cyl S/C 6M),N, N, N, 38355,39834,37355,41706,45011,39834,37355,41706,45011,N/A
11057,2014,Honda,Accord,EX-L V6 w/Navigation 4dr Sedan (3.5L 6cyl 6A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11058,2010,Volkswagen,CC,Sport 4dr Sedan (2.0L 4cyl Turbo 6M) Prod. End 10/09,N, N, N, 8678,8929,6884,10222,0,8929,6884,10222,0,N/A
11059,2013,Volkswagen,Tiguan,SE 4Motion 4dr SUV AWD w/Sunroof  Navigation (2.0L 4cyl Turbo 6A),Y, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11060,2011,MINI,Cooper,2dr Hatchback (1.6L 4cyl 6M),N, N, N, 12049,12094,10851,13241,15255,12094,10851,13241,15255,N/A
11061,2014,Toyota,Corolla,S Premium 4dr Sedan (1.8L 4cyl CVT),N, N, N, 16309,16754,15309,17900,19729,16754,15309,17900,19729,16400
11062,2011,Nissan,Leaf,SV 4dr Hatchback (3-phase  4-pole electric DD),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11063,2010,MINI,Cooper,S 2dr Convertible (1.6L 4cyl Turbo 6M),N, N, Y, 15308,14419,12920,16823,0,14255,12799,16681,0,15400
11064,2012,Volkswagen,Tiguan,LE 4dr SUV (2.0L 4cyl Turbo 6A),N, N, N, 16982,17391,15894,18662,20593,17391,15894,18662,20593,N/A
11065,2012,FIAT,500,Pop 2dr Hatchback (1.4L 4cyl 5M),N, N, N, 8712,8408,7061,9574,0,8408,7061,9574,0,N/A
11066,2011,Subaru,Forester,2.5X Premium 4dr SUV AWD (2.5L 4cyl 5M),N, N, N, 16544,16853,15544,18016,0,16853,15544,18016,0,N/A
11067,2011,Toyota,Sienna,SE 8-Passenger 4dr Minivan (3.5L 6cyl 6A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11068,2009,Toyota,Corolla,LE 4dr Sedan (1.8L 4cyl 4A),N, N, N, 9817,9406,8048,10789,12909,9406,8048,10789,12909,N/A
