Sale ID, Year, Make, Model, Style, Is Active?, On Sale?, Has Sold?, Offer to Seller, Private Price PI, Trade In Price PI, Retail Price PI, CPO Price PI, Private Price L, Trade In Price L, Retail Price L, CPO Price L, Beepi Price
18162,2012,Subaru,Legacy,2.5i Limited 4dr Sedan AWD (2.5L 4cyl CVT),N, N, N, 17496,17364,15465,19979,21340,17364,15465,19979,21340,N/A
18163,2013,Toyota,Highlander,Plus 4dr SUV AWD (3.5L 6cyl 5A),N, N, N, 27756,27444,25841,30097,31780,27444,25841,30097,31780,N/A
18164,2014,Audi,A4,2.0T Premium Plus quattro 4dr Sedan AWD (2.0L 4cyl Turbo 6M),N, N, N, 30500,0,0,0,0,0,0,0,0,N/A
18165,2012,Honda,CR-V,EX 4dr SUV AWD (2.4L 4cyl 5A),N, N, N, 20408,20005,18536,22592,24096,20005,18536,22592,24096,N/A
18166,2014,Ford,F-150,XLT 4dr SuperCrew 5.5 ft. SB (3.7L 6cyl 6A),N, N, N, 28399,28418,26166,31130,33069,28418,26166,31130,33069,N/A
18167,2011,Subaru,Outback,2.5i 4dr Wagon AWD (2.5L 4cyl 6M),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18168,2011,Subaru,Outback,2.5i Premium 4dr Wagon AWD (2.5L 4cyl CVT),N, N, N, 18871,18620,16903,21244,22790,18620,16903,21244,22790,N/A
18169,2009,Mercedes-Benz,SLK-Class,SLK300 2dr Convertible (3.0L 6cyl 6M),N, N, N, 22572,22235,20306,25342,27439,22235,20306,25342,27439,N/A
18170,2013,Kia,Optima,EX 4dr Sedan (2.4L 4cyl 6A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18171,2013,Kia,Optima,LX 4dr Sedan (2.4L 4cyl 6A),Y, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18172,2013,Audi,A5,2.0T Prestige quattro 2dr Coupe AWD (2.0L 4cyl Turbo 8A),N, N, N, 32920,32601,29969,36159,38850,32601,29969,36159,38850,N/A
18173,2014,Acura,RDX,4dr SUV AWD (3.5L 6cyl 6A),Y, N, Y, 29750,29293,27387,31754,33584,29047,27162,31496,33406,28800
18174,2015,Audi,A6,3.0T Prestige quattro 4dr Sedan AWD (3.0L 6cyl S/C 8A),Y, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18175,2013,Mercedes-Benz,C-Class,C250 Sport 4dr Sedan (1.8L 4cyl Turbo 7A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18176,2014,Subaru,BRZ,Limited 2dr Coupe (2.0L 4cyl 6M),Y, N, Y, 22398,22353,20709,24463,25370,22353,20709,24463,25370,23400
18177,2011,Mercedes-Benz,CLS-Class,CLS550 4dr Sedan (5.5L 8cyl 7A),Y, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18178,2013,Hyundai,Elantra,Limited PZEV 4dr Sedan (1.8L 4cyl 6A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18179,2011,BMW,5 Series,550i xDrive 4dr Sedan AWD (4.4L 8cyl Turbo 8A),N, N, N, 32205,31986,28834,36326,38742,31986,28834,36326,38742,N/A
18180,2012,Toyota,Prius c,Two 4dr Hatchback (1.5L 4cyl gas/electric hybrid CVT),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18181,2014,Toyota,Camry,LE 4dr Sedan (2.5L 4cyl 6A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18182,2013,Chevrolet,Sonic,LTZ 4dr Sedan (1.8L 4cyl 6A),N, N, N, 11465,11385,9868,13418,13331,11385,9868,13418,13331,N/A
18183,2014,Kia,Optima,EX Hybrid 4dr Sedan (2.4L 4cyl gas/electric hybrid 6A),N, N, N, 22289,22193,20741,24183,25422,22193,20741,24183,25422,23300
18184,2014,Porsche,Cayman,2dr Coupe (2.7L 6cyl 6M),N, N, N, 47123,47230,43824,51157,54133,47230,43824,51157,54133,N/A
18185,2012,Toyota,Corolla,S 4dr Sedan (1.8L 4cyl 4A),N, N, N, 14127,13932,12552,16054,17291,13932,12552,16054,17291,N/A
18186,2014,Acura,ILX Hybrid,Technology Package 4dr Sedan (1.5L 4cyl gas/electric hybrid CVT),N, N, N, 26412,26778,25041,28089,30017,26778,25041,28089,30017,N/A
18187,2013,Honda,CR-V,EX 4dr SUV AWD (2.4L 4cyl 5A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18188,2015,Mercedes-Benz,S-Class,S63 AMG 4MATIC 2dr Coupe AWD (5.5 8cyl Turbo 7A),Y, N, Y, 141691,150606,141691,157330,0,150606,141691,157330,0,143000
18189,2014,Audi,A4,2.0T Premium Plus quattro 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Y, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18190,2014,Audi,A4,2.0T Premium quattro 4dr Sedan AWD (2.0L 4cyl Turbo 8A),N, N, N, 26930,26912,24990,29302,32071,26912,24990,29302,32071,N/A
18191,2012,Jeep,Liberty,Limited 4dr SUV (3.7L 6cyl 4A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18192,2012,Hyundai,Accent,GLS 4dr Sedan (1.6L 4cyl 6A),N, N, N, 11212,11062,9779,12965,13765,11062,9779,12965,13765,N/A
18193,2010,Honda,CR-V,EX 4dr SUV (2.4L 4cyl 5A),N, N, N, 15085,14665,13329,17223,18963,14665,13329,17223,18963,N/A
18194,2014,Chevrolet,Camaro,ZL1 2dr Convertible (6.2L 8cyl S/C 6M),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18195,2010,Lexus,ES 350,4dr Sedan (3.5L 6cyl 6A),Y, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18196,2015,Honda,Pilot,EX-L 4dr SUV (3.5L 6cyl 5A),Y, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18197,2010,Toyota,Camry,LE 4dr Sedan (3.5L 6cyl 6A),N, N, N, 13074,12831,11245,15310,17272,12831,11245,15310,17272,N/A
18198,2014,Subaru,Impreza WRX,4dr Hatchback AWD (2.5L 4cyl Turbo 5M),Y, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18199,2012,Toyota,Prius v,Three 4dr Wagon (1.8L 4cyl gas/electric hybrid CVT),N, N, N, 17098,16838,15411,19162,20726,16838,15411,19162,20726,N/A
18200,2013,Honda,Odyssey,EX-L 4dr Minivan w/Navigation (3.5L 6cyl 5A),Y, N, Y, 28000,27258,25504,30093,31192,26864,25086,29712,30805,28300
